Компания,Город,Ниша,ЛПР,Email,Тема письма,Письмо,Дизайн/вариант,Телефон,VK-группа,Текст для VK,Telegram,Текст для TG,Правило касаний
МассажТомск.рф — студия массажа,Томск,бьюти/лазер,,massagvtomske@yandex.ru,Новые клиенты для вашей студии — 18 000 ₽,черновик в Gmail,price18,,https://vk.com/MassagTomsk,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту massagvtomske@yandex.ru про «МассажТомск.рф — студия массажа». Почта у многих — чёрная дыра, поэтому коротко здесь: мы ведём лазерную эпиляцию в 19 городах, есть канал с оплатой за заявку — 504 ₽ за подтверждённый контакт. Посчитать бесплатно цифры для вас?",,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Центр стоматологии и имплантологии «Астра-мед»,Пермь,медицина,Кузнецова Ирина Михайловна (гендиректор и единственный учредитель),astramed-priem@yandex.ru,Заявок ×9 для одиночной стоматологии — расчёт для «Астра-мед»,письмо в outbox,FIX,+7 (342) 255-49-96,,,поиск по номеру: +7 (342) 255-49-96,"Ирина Михайловна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Центр стоматологии и имплантологии «Астра-мед»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Д'Арт»,Воронеж,медицина,Левченко Давид Михайлович (учредитель и главврач); директор Миликова Елена Алексеевна,dave3d@rambler.ru,Заявок ×9 для одиночной стоматологии — расчёт для «Д'Арт»,письмо в outbox,FIX,,,,,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «ИАТРОС»,Волгоград,медицина,"Худавердян Дереник Бениаминович (директор, вероятно врач-собственник)",iatros34@yandex.ru,Заявок ×9 для одиночной стоматологии — расчёт для «ИАТРОС»,письмо в outbox,FIX,,,,,,email → D+2 VK/TG → D+3 фоллоу-ап письмом
Первая гинекологическая клиника,Красноярск,медицина,"Логиновский Андрей Сергеевич (директор, сам врач клиники)",firstgc@mail.ru,Пациентки по фиксированной цене заявки — расчёт для «Первой гинекологической»,письмо в outbox,FIX,+7 (391) 258-58-00,,,поиск по номеру: +7 (391) 258-58-00,"Андрей Сергеевич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Первая гинекологическая клиника». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Лингвистический центр LEXXIS,Екатеринбург,образование,,admin@lexxis.ru,Ученики по фиксированной цене заявки — к сентябрю для LEXXIS,письмо в outbox,FIX,+7 (343) 288-288-6,,,поиск по номеру: +7 (343) 288-288-6,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Лингвистический центр LEXXIS». Суть одной строкой: набор к сентябрю: бесплатный медиаплан — сколько заявок реально получить и по какой цене. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Частная школа «РОСТ»,Новосибирск,образование,Воробьева Олеся Вячеславовна (директор АНО «ОЦ «Рост»),info@rost21vek.ru,Заявки в 1-е классы по фиксированной цене — для школы «РОСТ»,письмо в outbox,FIX,+7 (383) 230-70-00,,,поиск по номеру: +7 (383) 230-70-00,"Олеся Вячеславовна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Частная школа «РОСТ»». Суть одной строкой: набор к сентябрю: бесплатный медиаплан — сколько заявок реально получить и по какой цене. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Детский центр развития «Яркие Дети»,Казань,образование,,yarkiedeti.kzn@yarkiedeti.ru,Заявки по фиксированной цене для трёх филиалов «Ярких Детей»,письмо в outbox,FIX,+7 (906) 330-54-30,,,поиск по номеру: +7 (906) 330-54-30,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Детский центр развития «Яркие Дети»». Суть одной строкой: набор к сентябрю: бесплатный медиаплан — сколько заявок реально получить и по какой цене. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Ларейн — центр лазерной косметологии,Екатеринбург,бьюти/лазер,Мартынова Наталья Анатольевна (директор ООО «Ларейн»; владелец Мартынова Людмила Васильевна),lareine@bk.ru,Заявки на эпиляцию по 504 ₽ с оплатой за результат — расчёт для «Ларейн»,письмо в outbox,FIX,+7 (343) 268-68-02,,,поиск по номеру: +7 (343) 268-68-02,"Наталья Анатольевна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Ларейн — центр лазерной косметологии». Суть одной строкой: заявки на эпиляцию с оплатой за результат — 504 ₽ за подтверждённый контакт (кейс сети в 19 городах). Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
МЦ «Лазер плюс Эстетика»,Самара,бьюти/лазер,"Вьюгина Светлана Владимировна (директор, соучредитель с Яруллиной Р.М.)",laser-2012@mail.ru,Заявки на эпиляцию по 504 ₽ с оплатой за результат — расчёт для «Лазер плюс Эстетика»,письмо в outbox,FIX,+7 (937) 07-07-222,,,поиск по номеру: +7 (937) 07-07-222,"Светлана Владимировна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «МЦ «Лазер плюс Эстетика»». Суть одной строкой: заявки на эпиляцию с оплатой за результат — 504 ₽ за подтверждённый контакт (кейс сети в 19 городах). Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника лазерной косметологии +,Пермь,бьюти/лазер,"Акбашева Светлана Шамсиевна (гендиректор, с 2018)",cliniclaser@yandex.ru,Заявки на эпиляцию по 504 ₽ с оплатой за результат — расчёт для вашей клиники,письмо в outbox,FIX,+7 (342) 215-90-09,,,поиск по номеру: +7 (342) 215-90-09,"Светлана Шамсиевна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Клиника лазерной косметологии +». Суть одной строкой: заявки на эпиляцию с оплатой за результат — 504 ₽ за подтверждённый контакт (кейс сети в 19 городах). Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника эстетической стоматологии «Галадент»,Уфа,медицина,"Сарваров Ильдус Марианович, генеральный директор и единственный учредитель (с 2005 г., rusprofile.ru)",galadent-ufa@mail.ru,Короткий диалог о пациентах для «Галадент»,черновик в Gmail,V2-chat,+7 (962) 525-91-53,,,поиск по номеру: +7 (962) 525-91-53,"Ильдус Марианович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Клиника эстетической стоматологии «Галадент»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Центр Дентальной Имплантации,Томск,медицина,"Ворочилов Виталий Викторович — генеральный директор и единственный учредитель ООО «ЦДИ» (rusprofile.ru, ИНН 7017266114)",cdistom@mail.ru,Короткий диалог о пациентах для Центра Дентальной Имплантации,черновик в Gmail,V2-chat,+7 (952) 895-05-83,,,поиск по номеру: +7 (952) 895-05-83,"Виталий Викторович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Центр Дентальной Имплантации». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «София»,Таганрог,медицина,"Кудрявцев Михаил Игоревич, генеральный директор ООО «София» (ИНН 6154149636, сниппет rusprofile.ru/spark-interfax.ru)",sofdent@bk.ru,Короткий диалог о пациентах для «Софии»,черновик в Gmail,V2-chat,+7 (950) 860-06-30,,,поиск по номеру: +7 (950) 860-06-30,"Михаил Игоревич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «София»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «Меди Лайт»,Рязань,медицина,"Ковальчук Елена Александровна, директор ООО «Меди Лайт» (rusprofile.ru, ИНН 6234108434)",medilicht@mail.ru,Короткий диалог о пациентах для «Меди Лайт»,черновик в Gmail,V2-chat,+7 (4912) 30-02-14,,,поиск по номеру: +7 (4912) 30-02-14,"Елена Александровна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «Меди Лайт»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологический центр «Лина»,Мытищи,медицина,"Егоров Евгений Владиславович, генеральный директор ООО «Лина» (ИНН 5029182264, rusprofile.ru)",dantist@linadent.ru,Короткий диалог о пациентах для центра «Лина»,черновик в Gmail,V2-chat,+7 (495) 588-79-37,,,поиск по номеру: +7 (495) 588-79-37,"Евгений Владиславович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологический центр «Лина»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Азурит»,Астрахань,медицина,,azuritsk@mail.ru,Короткий диалог о пациентах для «Азурита»,черновик в Gmail,V2-chat,+7 (8512) 28-37-47,,,поиск по номеру: +7 (8512) 28-37-47,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «Азурит»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «НоваДэнт»,Тула,медицина,,info.novadent71@gmail.com,Короткий диалог о пациентах для «НоваДэнт»,черновик в Gmail,V2-chat,+7 4872 257 111,,,поиск по номеру: +7 4872 257 111,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «НоваДэнт»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Sahar.Dental — центр дентальной имплантации и стоматологии,Челябинск,медицина,,plan@sahar.dental,Sahar.Dental: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (351) 20-20-220,,,поиск по номеру: +7 (351) 20-20-220,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Sahar.Dental — центр дентальной имплантации и стоматологии». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Центр стоматологии «Сапфир»,Красноярск,медицина,"Поляков Роман Анатольевич — генеральный директор ООО «ЦС Сапфир» (rusprofile.ru, ИНН 2465162135) и практикующий стоматолог-ортопед клиники",sapfir.stom@yandex.ru,«Сапфир»: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (391) 276-38-03,,,поиск по номеру: +7 (391) 276-38-03,"Роман Анатольевич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Центр стоматологии «Сапфир»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология 32,Омск,медицина,"Потапов Александр Геннадьевич — генеральный директор ООО «Стоматология 32» (rusprofile.ru, ИНН 5504071659)",info@stoma-32.ru,«Стоматология 32»: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (923) 677-32-32,,,поиск по номеру: +7 (923) 677-32-32,"Александр Геннадьевич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология 32». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Дента Клиник,Ростов-на-Дону,медицина,"Дургалян Петрос Ервандович, директор",denta-clinic24@mail.ru,«Дента Клиник»: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (919) 873-52-22,,,поиск по номеру: +7 (919) 873-52-22,"Петрос Ервандович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Дента Клиник». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Союз»,Брянск,медицина,"Грибанов Сергей Михайлович, директор ООО «Союз» (rusprofile.ru, ИНН 3250526923)",soyz32@ya.ru,«Союз»: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (4832) 36-20-10,https://vk.com/club89400473,"Сергей Михайлович, здравствуйте! Я Яна, агентство OMG — писала вам на почту soyz32@ya.ru про «Стоматологическая клиника «Союз»». Почта у многих — чёрная дыра, поэтому коротко здесь: для одиночных клиник у нас работает канал заявок по фиксированной цене — номер пациента подтверждается по SMS, клиника в Краснодаре так выросла с 252 до 2 270 заявок за год. Посчитать бесплатно цифры для вас?",поиск по номеру: +7 (4832) 36-20-10,"Сергей Михайлович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «Союз»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника SmileDent,Подольск,медицина,"Скалькович Артем Валерьевич, генеральный директор ООО «СМАЙЛ ДЕНТ» (ИНН 5036136290, spark-interfax/реестры)",info@smiledent32.ru,SmileDent: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (925) 373-48-18,,,поиск по номеру: +7 (925) 373-48-18,"Артем Валерьевич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника SmileDent». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника Dentus,Санкт-Петербург,медицина,"Пигулевский Дмитрий Александрович, генеральный директор ООО «Питерстом» (юрлицо клиники Dentus)",mail@dentusclinic.ru,Dentus: сколько стоит пациент и сколько он приносит,черновик в Gmail,V3-pnl,+7 (812) 635-35-15,,,поиск по номеру: +7 (812) 635-35-15,"Дмитрий Александрович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника Dentus». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Центр стоматологии «Дельта»,Оренбург,медицина,,stomdelta56@ya.ru,Журнал записи «Дельты» без окон — расчёт,черновик в Gmail,V5-schedule,+7 (3532) 48-71-87,,,поиск по номеру: +7 (3532) 48-71-87,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Центр стоматологии «Дельта»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Центральная стоматология им. Е.А. Беззубова,Тольятти,медицина,"Беззубова Елена Анатольевна, директор ООО «Центральная стоматология»",cs_tlt@mail.ru,Журнал записи «Центральной стоматологии» без окон — расчёт,черновик в Gmail,V5-schedule,+7 (962) 614-07-74,,,поиск по номеру: +7 (962) 614-07-74,"Елена Анатольевна, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Центральная стоматология им. Е.А. Беззубова». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологический центр «Аполлония»,Барнаул,медицина,"Маслов Виктор Владимирович — директор ООО «Стоматологический центр «Аполлония» (rusprofile.ru, ИНН 2222801559)",apolloniia-reg@bk.ru,Журнал записи «Аполлонии» без окон — расчёт,черновик в Gmail,V5-schedule,8-960-960-20-40,,,поиск по номеру: 8-960-960-20-40,"Виктор Владимирович, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологический центр «Аполлония»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Современник»,Ставрополь,медицина,,sovremennik.stv26@yandex.ru,Журнал записи «Современника» без окон — расчёт,черновик в Gmail,V5-schedule,+7 918 791-00-01,,,поиск по номеру: +7 918 791-00-01,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «Современник»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника современной стоматологии «RedWhite»,Тверь,медицина,,info@klinika-redwhite.com,Журнал записи RedWhite без окон — расчёт,черновик в Gmail,V5-schedule,+7 4822 79-09-09,https://vk.com/klinika_redwhite,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту info@klinika-redwhite.com про «Клиника современной стоматологии «RedWhite»». Почта у многих — чёрная дыра, поэтому коротко здесь: для одиночных клиник у нас работает канал заявок по фиксированной цене — номер пациента подтверждается по SMS, клиника в Краснодаре так выросла с 252 до 2 270 заявок за год. Посчитать бесплатно цифры для вас?",поиск по номеру: +7 4822 79-09-09,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Клиника современной стоматологии «RedWhite»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника «Невская Стоматология»,Санкт-Петербург,медицина,,info@nevstoma.ru,Журнал записи «Невской Стоматологии» без окон — расчёт,черновик в Gmail,V5-schedule,+7 (911) 184-19-40,,,поиск по номеру: +7 (911) 184-19-40,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Клиника «Невская Стоматология»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматология «Зангари»,Ижевск,медицина,,zangaristom@yandex.ru,Заявок ×9 для одиночной стоматологии — расчёт для «Зангари»,черновик в Gmail,FIX,+7 (3412) 65-09-06,https://vk.com/zangaristomat,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту zangaristom@yandex.ru про «Стоматология «Зангари»». Почта у многих — чёрная дыра, поэтому коротко здесь: для одиночных клиник у нас работает канал заявок по фиксированной цене — номер пациента подтверждается по SMS, клиника в Краснодаре так выросла с 252 до 2 270 заявок за год. Посчитать бесплатно цифры для вас?",поиск по номеру: +7 (3412) 65-09-06,"Здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматология «Зангари»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Стоматологическая клиника «Астра»,Владимир,медицина,"Скоропад Эдуард Витальевич (хирург-имплантолог, владелец; практикует с 1983)",skoropad.eduard@rambler.ru,Заявок ×9 для одиночной стоматологии — расчёт для «Астры»,черновик в Gmail,FIX,+7 915 775-50-83,,,поиск по номеру: +7 915 775-50-83,"Эдуард Витальевич, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Стоматологическая клиника «Астра»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
Клиника доктора Евграфова «Стоматолог»,Курск,медицина,"Евграфов (врач-основатель, именная клиника)",stomatolog.12@mail.ru,Заявок ×9 для одиночной стоматологии — расчёт для клиники доктора Евграфова,черновик в Gmail,FIX,+7 910-731-14-42,,,поиск по номеру: +7 910-731-14-42,"Евграфов, здравствуйте! Я Яна, агентство OMG — писала вам на почту про «Клиника доктора Евграфова «Стоматолог»». Суть одной строкой: заявки на приём по фиксированной цене (SMS-подтверждение каждого номера). Одиночная клиника в Краснодаре выросла в 9 раз по заявкам за год. Прислать расчёт сюда?",email → D+2 VK/TG → D+3 фоллоу-ап письмом
